firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
01077709,12,38.793617,38666.102,3,27.10137,,40
01078254,1,38.005478,4822.5,3,15.676712,660,40
01078582,1,28.051695,531.03998,2,15.676712,,40
01079181,15,36.556435,5820.1001,1.6666666,1.9698631,452,40
0111820,0,35.687645,592.98999,2,3.5205479,452,7
0111920,2,39.513905,1374.76,1,8.8246574,,7
0111935,0,43.133549,30,2,1.6630137,,7
011650,12,23.331123,1277.8,1,3.2739725,,2
01175657,4,47.021557,464.39999,3,.24383561,,14
01193068,36,15.945133,1773.4,1.8,13.032877,,46
01275103,3,15.687562,1720,2,4.709589,,47
01546466,3,20.223589,8185.9399,2,2.5068493,602,13
01546616,0,12.921136,732.59998,3,6.9123287,804,13
01581531,5,27.9,6941.3999,3,19.901369,,19
01584521,2,35.017334,282.35001,3,.91232878,,28
01585356,0,33.0625,240,4,.19452055,,2
01585675,5,107.43343,1200,2,4.5041094,,7
01586601,2,36.683365,1717.0699,1.5,5.419178,,28
01632383,1,32.752499,4500,2,2.9041095,741,23
01632431,16,43.885586,1393.5,1,5.2876711,222,37
021445,11,108.90608,1521,2,18.59726,923,3
0268798,26,47.674904,31.57,3.6666667,1.0821918,,8
0342047,19,21.067083,1275,1.8571428,31.235617,451,10
0354479,9,15.572783,672,2,17.915068,,11
0398762,19,35.365864,2525.7275,2,38.958904,,13
0399482,2,15.992301,1428.08,2,34.775341,,13
0400455,21,31.841125,392,.5,3.1671233,,13
0405772,3,29.670055,4930,2,11.961644,,13
0601270,18,21.489334,3062.03,2,57.747944,,33
0637250,0,36.490002,50,3,2.2273972,,26
0641108,1,46.358906,3000,3,,,27
0667232,14,77.657753,54.119999,3,25.013699,,45
0668928,6,29.41548,7495.3198,1,3.1178081,13,10
0669587,10,85.018631,25548.23,5,19.939726,741,28
0671005,3,31.647425,4385.3398,3,14.008219,514,45
0671039,26,24.500977,16588.881,2,3.1671233,11,6
0672483,2,25.190302,11798.49,2,7.8027396,,28
0677757,3,36.21384,60,3,33.523289,,8
0684466,7,47.180138,16067.965,1,39.21096,672,28
0685886,1,4.2849193,2000,3,6.8164382,742,28
0689063,17,33.591427,29659.82,3,32.758904,,28
0691253,9,36.345615,3676.76,2.5,26.756165,851,28
