firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"A379598",65,53.54011,43455.5,2,7602,263,12
"A379611",20,76.69672,1906.605,1,7647,,12
"A379616",68,35.92888,3838.56,1.666667,8246,,30
"A379624",11,37.1949,216.38,2,9917,,12
"A379638",49,74.0327,10577,1,7396,,17
"A379644",67,59.19687,11336.87,.7272727,7301,701,12
"A379648",145,70.28143,8741.415,1,7355,,12
"A379655",31,68.41389,42.07,1.5,13013,142,12
"A379657",32,48.85526,373.54,1,11871,,12
"A379661",107,94.73316,6577.45,1.416667,8153,452,12
"A379677",126,70.94223,24.04,2.166667,7213,268,12
"A379702",142,79.44,1600,1.625,7018,452,12
"A379710",33,78.02482,174372.3,1,6572,159,46
"A379712",36,50.80326,894.96,2.5,7978,,12
"A379716",10,61.06501,1385.38,3,7183,,12
"A379736",79,96.77184,6350,2.25,12530,141,12
"A379744",840,141.8005,14185,1.823529,14720,241,12
"A380207",126,73.59162,11717.64,2.166667,15011,,2
"A386014",229,61.94982,6929.08,1.9,15011,343,12
"A386028",145,55.79296,9034.19,2.5,6542,246,12
"A386708",30,36.43959,1138.34,2,6361,,12
"A386778",121,55.27889,196,2,8214,342,12
"A388126",76,31.18226,10619.06,1.25,6202,,8
"A390344",15,51.03537,846.85,1.25,6025,501,12
"A390917",2,100.4047,418.99,3,5691,,46
"A391229",7,66.90082,5181.915,2.571429,5452,503,28
"A391237",84,53.21628,52862.01,1.571429,5382,266,12
"A391298",14,72.53991,3986.455,1.75,5661,672,12
"A392598",297,96.64191,36523.23,2.1,4992,263,28
"A392606",157,93.16834,14903.54,1.866667,4890,263,12
"A392645",119,136.4353,16702.79,1.857143,1886,263,12
"A392719",129,55.07424,439.9,1.777778,4492,262,12
"A392725",46,54.70469,530.64,1,4657,262,12
"A392783",80,41.93016,18062.89,1.833333,4767,361,12
"A392808",68,60.89404,5158,1.666667,4535,263,12
"A392841",77,85.0007,45897.37,1.666667,4688,515,12
"A392914",109,91.75241,5756.26,1.714286,4709,263,12
"A393058",94,58.90031,3235.8,2,4590,263,12
"A393129",25,73.27359,2045.01,3,4564,,12
"A393516",43,50.20062,38730,1.8,4123,,44
"A394353",32,55.57749,673.2175,3,3722,,12
"A394356",35,50.97025,7545.57,1.5,3709,514,12
"A394480",11,48.74401,83.185,3,3556,,12
"A394483",2,131.1406,296.53,1,3255,452,12
"A394540",18,48.08226,151.49,1,3485,243,12
"A394737",31,57.28426,1385.15,1.5,3308,263,12
"A394778",472,227.9891,250,2.294118,3286,232,12
"A394827",48,32.60278,7926.25,1.8,3274,853,12
"A394852",14,48.39474,667.96,2,3251,252,12
"A394946",246,68.01095,8664.32,1.9,3013,263,12
"A394994",23,53.32108,465.96,2,2958,660,2
"A395170",21,78.34457,2628.82,1.5,2769,511,12
"A395360",55,40.81879,118.86,2,2512,262,12
"A395371",0,63.2686,157.5,2,2610,263,12
"A395825",98,71.43776,2050,3,2357,515,12
