firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"01029867",2,59.98907,1757,5,3166,,37
"0104049",0,109.2949,620,4,4211,,6
"01078254",1,48.37748,5763.15,4,7548,651,40
"0111920",7,52.8635,1648.2,1.666667,5047,412,7
"01172239",2,83.64082,12306.55,3,5600,949,45
"01172895",2,50.76625,23441.62,3,5805,662,28
"01507314",0,42.95605,2453.64,2,2100,,7
"01582458",2,33.46343,134.5,3,9601,711,37
"01586601",4,48.06071,4800,2,3804,,28
"01653615",3,39.5903,759.9,5,967,691,45
"01689681",1,19.84619,5640,1,2943,11,16
"01689889",4,44.29974,640,1,4368,,2
"01739741",3,33.66582,520,2,4180,563,6
"01943882",5,34.67573,2908.7,0,3755,,16
"021445",13,119.6849,1887.6,2,8614,,3
"02147354",5,31.28928,7000,3,6646,691,29
"02207040",13,30.8206,1125,2,5223,494,8
"02399628",3,32.87671,1416,3,3561,,49
"02458082",0,40.33808,1800,2,2952,,6
"02458494",3,36.58852,440,1,1519,,6
"02513446",6,43.46597,34033.78,5,3609,691,19
"0268798",16,45.65972,57.12667,3,2221,,46
"02734212",0,41.08572,390,2,1941,,37
"02808655",1,31.872,2654,1,2982,15,5
"02809930",6,37.3662,600,1,1491,563,6
"02865086",5,53.09549,647.5,1,1010,422,28
"02896041",13,38.30521,3232,2,1124,476,37
"02900495",2,28.42504,529,4,1705,881,40
"02909268",2,23.88543,11760,3,790,,28
"02957538",0,40.37551,1200,2,578,412,5
"02958490",1,45.16432,1400,1,39,,12
"03001055",4,40.33749,329.31,2,569,,28
"03001268",8,31.79749,2800,1.5,381,960,28
"03002257",1,80.19573,485.44,5,1145,750,28
"03002599",5,37.80017,2160,5,3615,750,28
"03005834",17,59.9984,5656.57,3,395,,13
"03029446",2,40.93068,660,2,487,563,37
"03048006",1,40.83649,960,0,609,563,33
"03139689",12,413.5412,6000,5,8850,862,30
"03158720",2,34.3779,1160,2,239,563,6
"0350318",2,36.64405,3101.64,2.25,2982,,6
"0393024",24,133.8902,1259,3,9314,691,12
"0399482",3,54.39504,2169.417,1.5,14519,960,13
"0400455",14,56.53,1322.84,2,17150,,45
"0491776",14,64.63333,640,5,2608,853,17
"0534448",8,59.4479,3244.49,5,4533,862,19
"0613750",5,52.77003,9.02,1,2779,691,25
"0668005",187,72.34229,6275,1.8,14013,493,28
"0669587",13,40.47601,5333,3.5,9104,,28
"0672302",2,46.66548,1400,0,9801,,28
"0676763",16,95.65218,17040,1,8970,,28
"0684115",4,38.55616,816,2,4503,,28
"0684466",8,55.12808,19121.76,1,16138,662,28
"0747594",0,152.1667,4379.667,2,410,,41
"0762528",8,35.2394,2019.5,1,4237,,28
"090206",9,36.30828,60,2,3763,,6
"091268",0,45.56147,1790.92,1,8967,,6
"092573",5,43.04219,674.78,2,2753,855,6
"092910",6,38.12342,4400,1,5692,662,6
"A10",53,127.1817,8037.1,2.5,12478,,8
"A1001672",41,47.69708,184.68,3.8,8156,289,15
"A1001680",112,42.0789,3141.445,1.625,23406,102,36
"A1001683",58,43.85786,3000,2.411765,364,236,15
"A1001685",444,80.67014,25963.35,1.65,21305,101,36
"A1001686",207,143.8504,817.8359,3.7,16138,,38
"A1001687",93,79.72206,13264.11,2.666667,15926,,27
"A1001697",3,79.11782,17722.18,1.8,1217,,15
"A1001701",19,42.5559,3763.35,3.5,19933,,28
"A1001704",13,57.58955,19349.63,2,13117,467,27
"A1001708",87,110.9634,12643.94,2.653846,19417,412,46
"A1001733",111,35.36683,89289.9,1.555556,10532,102,36
"A1001736",43,42.51458,90,3,10897,,48
"A1001740",106,40.53914,4416,1.875,10956,143,36
"A1001748",68,43.92808,600,2.333333,10501,282,36
"A1001778",41,66,2164,1,6488,932,36
"A1001787",38,36.63393,569.71,2,9342,141,36
"A1001808",32,57.81124,950,2.071429,8765,282,36
"A1001814",37,70.69751,4950,3.333333,8810,,36
"A1001819",45,43.66657,31877.29,2,8863,,36
"A1001820",11,46.20795,1500,1.5,8229,102,36
"A1001848",69,48.1172,39999.96,2.125,8386,,8
"A1001851",83,609.2399,6035.22,4.333333,517,692,28
"A1001883",46,46.79041,775,1,7988,,36
"A1001889",13,39.39584,20.7,2,7518,,28
"A1002044",1,137.593,3243.935,2.391304,5053,139,36
"A1002308",24,75.22748,68730,2,7736,,36
"A1014146",11,52.82439,8450,2,7254,,36
"A1014584",0,60.6358,258.47,1,4109,,27
"A1016116",131,65.45182,10800,2.666667,3347,212,36
"A1016851",18,40.75325,4000,3,7224,,15
"A1018715",165,47.83138,10000,1.68,3592,412,36
"A101883",89,50.19873,17750.54,1.923077,7316,321,6
"A1018944",32,49.23692,13838.61,3,4001,237,36
"A1019279",27,68.73057,460,2.333333,3469,222,36
"A1021335",231,75.10542,305.846,3.072727,13591,791,8
"A1021354",44,42.59452,146.05,2,16077,451,37
"A1021360",19,51.36226,24360,2.666667,18089,110,37
"A1021380",38,50.85475,15767.08,2.75,20587,,49
"A1021382",20,66.73904,262.04,2,11231,,46
